MEP_name,MEP_id,national_party,national_party_id,EU_parliament_group,EU_parliament_group_id,EU_electoral_district,EU_electoral_district_id,elected_in_country,elected_in_country_id,start_date,end_date,parliamentary_term,parliamentary_term_id
Jacques Chirac,http://www.wikidata.org/entity/Q2105,Rally for the Republic,http://www.wikidata.org/entity/Q1052584,European Progressive Democrats,http://www.wikidata.org/entity/Q5413043,France,http://www.wikidata.org/entity/Q5478259,France,http://www.wikidata.org/entity/Q142,1979-07-17,1980-04-28,First European Parliament,http://www.wikidata.org/entity/Q17315702
Michael Spindelegger,http://www.wikidata.org/entity/Q11735,Austrian People's Party,http://www.wikidata.org/entity/Q186867,European People's Party group,http://www.wikidata.org/entity/Q635616,Austria,http://www.wikidata.org/entity/Q4825411,Austria,http://www.wikidata.org/entity/Q40,1995-01-01,1996-10-29,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
Rachida Dati,http://www.wikidata.org/entity/Q27182,Union for a Popular Movement,http://www.wikidata.org/entity/Q173152,European People's Party group,http://www.wikidata.org/entity/Q635616,Île-de-France,http://www.wikidata.org/entity/Q556691,France,http://www.wikidata.org/entity/Q142,2014-07-01,,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Rachida Dati,http://www.wikidata.org/entity/Q27182,Union for a Popular Movement,http://www.wikidata.org/entity/Q173152,European People's Party group,http://www.wikidata.org/entity/Q635616,Île-de-France,http://www.wikidata.org/entity/Q556691,France,http://www.wikidata.org/entity/Q142,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Edmund Stoiber,http://www.wikidata.org/entity/Q44507,,,,,,,,,,,,
Józef Oleksy,http://www.wikidata.org/entity/Q55924,,,,,,,,,,,,
Andrus Ansip,http://www.wikidata.org/entity/Q57640,Estonian Reform Party,http://www.wikidata.org/entity/Q738947,Group of the Alliance of Liberals and Democrats for Europe,http://www.wikidata.org/entity/Q839097,Estonia,http://www.wikidata.org/entity/Q5401432,Estonia,http://www.wikidata.org/entity/Q191,2014-07-01,2014-10-31,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Antonis Samaras,http://www.wikidata.org/entity/Q57806,New Democracy,http://www.wikidata.org/entity/Q223153,European People's Party group,http://www.wikidata.org/entity/Q635616,Greece,http://www.wikidata.org/entity/Q17077105,Greece,http://www.wikidata.org/entity/Q41,2004-07-20,2007-09-25,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Martin Bangemann,http://www.wikidata.org/entity/Q61250,,,,,,,,,1973-01-01,1984-01-01,,
Martin Bangemann,http://www.wikidata.org/entity/Q61250,Free Democratic Party,http://www.wikidata.org/entity/Q13124,European Liberal Democrat and Reform Party Group,http://www.wikidata.org/entity/Q1671234,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1979-07-17,1984-06-27,First European Parliament,http://www.wikidata.org/entity/Q17315702
Klaus Hänsch,http://www.wikidata.org/entity/Q62420,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1989-07-25,1994-07-18,Third European Parliament,http://www.wikidata.org/entity/Q17315704
Klaus Hänsch,http://www.wikidata.org/entity/Q62420,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1979-07-17,1984-07-23,First European Parliament,http://www.wikidata.org/entity/Q17315702
Klaus Hänsch,http://www.wikidata.org/entity/Q62420,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1984-07-24,1989-07-24,Second European Parliament,http://www.wikidata.org/entity/Q17315703
Klaus Hänsch,http://www.wikidata.org/entity/Q62420,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Klaus Hänsch,http://www.wikidata.org/entity/Q62420,,,,,,,,,1979-01-01,2009-01-01,,
Klaus Hänsch,http://www.wikidata.org/entity/Q62420,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Klaus Hänsch,http://www.wikidata.org/entity/Q62420,Social Democratic Party of Germany,http://www.wikidata.org/entity/Q49768,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Germany,http://www.wikidata.org/entity/Q1350565,Germany,http://www.wikidata.org/entity/Q183,1994-07-19,1999-07-19,Fourth European Parliament,http://www.wikidata.org/entity/Q17315706
